"","actual","X0","X1","predict"
"380653956","1",0.41647156057281,0.58352843942719,1
"380667361","0",0.410231681015083,0.589768318984917,1
"380673691","1",0.415786056422639,0.584213943577361,1
"380685493","1",0.412001661378042,0.587998338621958,1
"380704551","0",0.410863088361073,0.589136911638927,1
"380723959","0",0.415120835778976,0.584879164221024,1
"380797090","0",0.412889807342255,0.587110192657745,1
"380801198","1",0.409839610952247,0.590160389047753,1
"380816610","1",0.202950104884569,0.797049895115431,1
"380821386","0",0.399346452713967,0.600653547286033,1
"380827750","0",0.413582823338236,0.586417176661764,1
"380838889","0",0.402868210480813,0.597131789519187,1
"380842676","0",0.401712671394528,0.598287328605472,1
"380842808","0",0.40500627872609,0.59499372127391,1
"380855461","0",0.409140997541473,0.590859002458527,1
"380868196","0",0.397604923679425,0.602395076320575,1
"380868218","0",0.40288365554677,0.59711634445323,1
"380868774","0",0.414824716147802,0.585175283852198,1
"380908078","0",0.416193870969534,0.583806129030466,1
"380922768","0",0.412032100379118,0.587967899620882,1
"380925821","0",0.411269308534918,0.588730691465082,1
"380935558","0",0.400558577379693,0.599441422620307,1
"381848121","0",0.407072411695757,0.592927588304243,1
"381868192","0",0.415439673282397,0.584560326717603,1
"381876576","1",0.401160904475426,0.598839095524574,1
"381895036","0",0.413600156536639,0.586399843463361,1
"381909888","1",0.38520875627954,0.61479124372046,1
"381935463","1",0.404597828058105,0.595402171941895,1
"381970507","0",0.407782710884984,0.592217289115016,1
"382029165","1",0.414500793173313,0.585499206826687,1
"382045152","0",0.410961270336161,0.589038729663839,1
"382048611","0",0.41486263195573,0.58513736804427,1
"382052118","1",0.416673324128173,0.583326675871827,1
"382068768","1",0.413776009808911,0.586223990191089,1
"382072983","0",0.398366971928137,0.601633028071863,1
"382080852","0",0.397190854878402,0.602809145121598,1
"382101080","0",0.411261612376471,0.588738387623529,1
"382101652","0",0.405856069378109,0.594143930621891,1
"382103172","1",0.415332305054396,0.584667694945604,1
"382105963","0",0.40694796063693,0.59305203936307,1
"384022264","1",0.41673197997335,0.58326802002665,1
"384027955","1",0.411229430625889,0.588770569374111,1
"384054387","0",0.405045955729954,0.594954044270046,1
"384056079","1",0.415923405057533,0.584076594942467,1
"384065674","0",0.388969692198395,0.611030307801605,1
"384092613","0",0.398565872690824,0.601434127309176,1
"384092869","1",0.414511145485537,0.585488854514463,1
"384095876","0",0.408214566326008,0.591785433673992,1
"384121546","1",0.415682013899891,0.584317986100109,1
"384127046","1",0.402857821430602,0.597142178569398,1
"384143863","1",0.402919751681445,0.597080248318555,1
"384151909","1",0.408047101995989,0.591952898004011,1
"384165676","1",0.382756452341907,0.617243547658093,1
"384185748","0",0.389643491748266,0.610356508251734,1
"384186419","0",0.41413408009815,0.58586591990185,1
"384206609","0",0.412341475266793,0.587658524733207,1
"384233440","0",0.414026031542117,0.585973968457883,1
"384252476","0",0.402329720308031,0.597670279691969,1
"384252696","0",0.405199126014519,0.594800873985481,1
"384252957","0",0.414226457949056,0.585773542050944,1
"384263402","1",0.404170124825215,0.595829875174785,1
"384273567","0",0.411556999670644,0.588443000329356,1
"384288394","1",0.413641291445802,0.586358708554198,1
"384289635","1",0.40000154730651,0.59999845269349,1
"384290061","0",0.408830248148817,0.591169751851183,1
"384291761","0",0.396248893737993,0.603751106262007,1
"384293817","0",0.410549424534446,0.589450575465554,1
